"day","T"
640.5,281.15
641,277.15
641.5,283.15
642,280.15
642.5,284.15
643,279.15
643.5,286.15
644,275.15
644.5,282.15
645,278.15
645.5,284.15
646,280.15
646.5,284.15
647,278.15
647.5,287.15
648,277.15
648.5,281.15
649,279.15
649.5,283.15
650,276.15
650.5,284.15
651.5,285.15
652,277.15
652.5,284.15
653,281.15
653.5,285.15
654,280.15
655,280.15
655.5,284.15
656,279.15
656.5,285.15
657.5,285.15
658,276.15
658.5,284.15
659,276.15
659.5,282.15
660,279.15
660.5,283.15
661,280.15
661.5,283.15
662,276.15
662.5,284.15
663,280.15
663.5,285.15
664,282.15
664.5,287.15
665.5,284.15
666,278.15
666.5,282.15
667,276.15
667.5,281.15
668.5,279.15
669.5,281.15
670,277.15
670.5,280.15
671,278.15
672,277.15
672.5,281.15
673.5,283.15
674,273.15
674.5,282.15
675,278.15
675.5,282.15
676,281.15
676.5,282.15
677,281.15
677.5,286.15
678,281.15
678.5,286.15
679.5,282.15
681,276.15
683,278.15
683.5,283.15
684.5,284.15
685.5,282.15
686.5,282.15
687,271.15
687.5,279.15
688.5,277.15
689,269.15
689.5,278.15
690,275.15
690.5,280.15
691,278.15
691.5,281.15
692,278.15
692.5,281.15
693.5,281.15
694,277.15
694.5,281.15
695.5,280.15
696,272.15
696.5,283.15
697,274.15
697.5,281.15
698,276.15
698.5,280.15
699,277.15
699.5,283.15
700,277.15
700.5,286.15
701.5,287.15
702,275.15
702.5,286.15
704,277.15
705,281.15
705.5,284.15
706,283.15
706.5,285.15
707.5,286.15
709.5,280.15
710,274.15
710.5,278.15
711,274.15
711.5,282.15
714,277.15
714.5,280.15
715.5,283.15
716,276.15
716.5,279.15
717.5,279.15
718,275.15
718.5,284.15
719,282.15
719.5,286.15
720,284.15
722,280.15
722.5,285.15
723.5,283.15
724,276.15
724.5,285.15
725.5,285.15
726,279.15
726.5,282.15
729,276.15
730,281.15
730.5,284.15
732,276.15
733.5,283.15
734,278.15
735,282.15
735.5,284.15
736.5,284.15
737.5,279.15
739,280.15
739.5,284.15
740.5,283.15
741,280.15
741.5,284.15
742.5,284.15
743,277.15
744.5,285.15
745,277.15
745.5,286.15
746,274.15
746.5,280.15
748.5,278.15
749,272.15
751,274.15
751.5,281.15
752.5,284.15
753,274.15
753.5,279.15
754,277.15
754.5,280.15
755.5,283.15
756.5,280.15
757.5,279.15
758,274.15
758.5,279.15
759.5,278.15
760,277.15
760.5,285.15
761,278.15
761.5,284.15
762,278.15
762.5,285.15
763.5,283.15
764,276.15
764.5,282.15
766,276.15
766.5,278.15
767.5,279.15
768,271.15
768.5,280.15
769,276.15
769.5,278.15
770,274.15
771.5,275.15
772,274.15
772.5,278.15
773,277.15
773.5,279.15
774.5,279.15
775,276.15
775.5,278.15
776.5,280.15
777,272.15
778,275.15
778.5,285.15
779.5,282.15
780,269.15
780.5,278.15
781,273.15
781.5,279.15
782.5,279.15
783,272.15
783.5,278.15
784,272.15
784.5,278.15
785,277.15
785.5,279.15
786.5,281.15
787,277.15
787.5,279.15
789,271.15
789.5,275.15
790,274.15
790.5,278.15
791,278.15
791.5,283.15
792,277.15
792.5,284.15
793,276.15
794,277.15
794.5,282.15
795,275.15
795.5,282.15
796,277.15
796.5,284.15
797,277.15
797.5,283.15
798,274.15
798.5,281.15
799,275.15
799.5,280.15
800,278.15
800.5,280.15
801.5,280.15
802,277.15
802.5,280.15
803,275.15
803.5,278.15
804,275.15
804.5,281.15
805,273.15
805.5,278.15
806,273.15
806.5,279.15
807,270.15
807.5,278.15
808,270.15
808.5,280.15
