day,time,latitude,longitude,T
55.5,25.02.25,42.87958115,-82.5,304.54446
56,26.02.25,42.87958115,-82.5,294.6552
56.5,26.02.25,42.87958115,-82.5,299.9151
57,27.02.25,42.87958115,-82.5,290.28607
57.5,27.02.25,42.87958115,-82.5,300.2411
58,28.02.25,42.87958115,-82.5,295.66187
58.5,28.02.25,42.87958115,-82.5,305.22946
59,01.03.25,42.87958115,-82.5,298.59836
59.5,01.03.25,42.87958115,-82.5,304.40793
60,02.03.25,42.87958115,-82.5,294.5091
60.5,02.03.25,42.87958115,-82.5,301.72513
61,03.03.25,42.87958115,-82.5,296.5311
61.5,03.03.25,42.87958115,-82.5,304.46628
62,04.03.25,42.87958115,-82.5,295.7646
62.5,04.03.25,42.87958115,-82.5,305.16586
63,05.03.25,42.87958115,-82.5,296.09543
