"day","T","...3"
937.5,297.0499996,NA
938.5,297.65,NA
940.5,296.65,NA
943.5,295.65,NA
944.5,295.15,NA
945.5,295.15,NA
946.5,295.15,NA
947.5,294.9499992,NA
948.5,297.15,NA
949.5,295.15,NA
950.5,296.15,NA
951.5,297.0499996,NA
952.5,296.65,NA
954.5,295.9499992,NA
956.5,295.15,NA
957.5,296.5499996,NA
959.5,297.0499996,NA
960.5,296.65,NA
961.5,296.65,NA
962.5,297.15,NA
963.5,296.65,NA
964.5,296.65,NA
965,300.15,NA
965.5,295.15,NA
966,300.15,NA
966.5,295.65,NA
967,301.65,NA
968.5,296.15,NA
970.5,295.15,NA
971.5,296.2500004,NA
972.5,296.5499996,NA
973.5,296.65,NA
974.5,296.15,NA
975.5,295.5499996,NA
976.5,295.65,NA
977,303.15,NA
980.5,296.15,NA
981.5,296.65,NA
982.5,296.8500008,NA
983.5,295.7500004,NA
986.5,296.7500004,NA
987.5,296.4499992,NA
989.5,295.8500008,NA
991.5,296.7500004,NA
992.5,293.9499992,NA
995.5,296.5499996,NA
996.5,296.8500008,NA
999.5,297.15,NA
1001.5,296.15,NA
1002.5,296.4499992,NA
1004,302.7500004,NA
1006,302.65,NA
1006.5,293.65,NA
1007.5,295.9499992,NA
1008,301.8500008,NA
1008.5,296.65,NA
1009.5,296.65,NA
1010,301.7500004,NA
1010.5,295.65,NA
1011.5,294.2500004,NA
1013.5,296.65,NA
1014,303.8500008,NA
1014.5,294.5499996,NA
1015,303.4499992,NA
1015.5,294.8500008,NA
1016,301.15,NA
1016.5,294.7500004,NA
1017.5,296.2500004,NA
1020.5,295.9499992,NA
1021.5,294.65,NA
1022.5,295.4499992,NA
1023.5,297.15,NA
1025.5,295.8500008,NA
1026.5,297.15,NA
1027.5,295.8500008,NA
1028.5,296.65,NA
1030.5,296.15,NA
1031.5,297.15,NA
1032.5,295.7500004,NA
1033.5,296.15,NA
1035.5,294.65,NA
1037.5,295.7500004,NA
1038,304.9499992,NA
1038.5,297.15,NA
1039.5,297.15,NA
1040,304.5499996,NA
1040.5,296.8500008,NA
1041.5,297.15,NA
1042,304.5499996,NA
1042.5,297.8500008,NA
1043.5,296.4499992,NA
1044.5,296.8500008,NA
1045,305.8500008,NA
1046,305.65,NA
1046.5,295.65,NA
1048,305.3500008,NA
1050,305.8500008,NA
1051,304.65,NA
1053,304.7500004,NA
1054,305.15,NA
1055,305.15,NA
1056,305.65,NA
1057,305.65,NA
1059,305.7499985,NA
1065.5,297.3500008,NA
1066.5,297.65,NA
1067.5,297.15,NA
1068.5,297.65,NA
1069,305.65,NA
1069.5,297.65,NA
1071.5,298.15,NA
1073,305.15,NA
1074,306.5500015,NA
1074.5,296.65,NA
1075,306.15,NA
1075.5,294.5499996,NA
1076,305.65,NA
1076.5,295.7500004,NA
1077.5,296.15,NA
1078,306.15,NA
1078.5,296.65,NA
1079,306.5500015,NA
1079.5,297.15,NA
1080,306.15,NA
1080.5,297.3500008,NA
1081,306.65,NA
1082,306.5500015,NA
1083.5,298.15,NA
1084,304.65,NA
1084.5,297.4499992,NA
1085,300.5499996,NA
1085.5,297.3500008,NA
1086,305.9499992,NA
1086.5,297.65,NA
1087.5,297.7500004,NA
1088,306.65,NA
1088.5,296.65,NA
1089.5,294.65,NA
1090,306.65,NA
1090.5,295.65,NA
1091,305.65,NA
1091.5,295.15,NA
1092,306.15,NA
1092.5,296.5499996,NA
1093,306.65,NA
1093.5,297.15,NA
1094.5,297.7500004,NA
1095.5,298.65,NA
1096,305.5500015,NA
1096.5,297.65,NA
1097,305.4499992,NA
1097.5,297.9499992,NA
1098,306.15,NA
1099.5,297.5499996,NA
1100.5,295.65,NA
1101,305.65,NA
1102,304.7500004,NA
1105,305.65,NA
1105.5,297.65,NA
1106,306.65,NA
1106.5,297.65,NA
1107,306.65,NA
1107.5,298.3500008,NA
1108.5,298.15,NA
1109,305.7499985,NA
1109.5,298.65,NA
1110.5,298.5499996,NA
1111.5,298.65,NA
1112.5,298.5499996,NA
1113,306.65,NA
1113.5,298.15,NA
1114,302.8500008,NA
1114.5,297.9499992,NA
1117,305.15,NA
1118.5,297.65,NA
1119.5,298.15,NA
1120.5,297.15,NA
1125,306.3500008,NA
1126,305.65,NA
1127,307.4499992,NA
1128,306.3500008,NA
1129,305.65,NA
1135,308.65,NA
1138,309.0500015,NA
1139,308.3500008,NA
1140,306.8500008,NA
1141,306.65,NA
1142,309.15,NA
1143,308.15,NA
1146,309.15,NA
1149.5,299.65,NA
1150.5,299.15,NA
1151,307.15,NA
1152,308.2499985,NA
1154,307.65,NA
1155.5,297.15,NA
1156.5,298.2500004,NA
1157,307.2499985,NA
1160,306.8500008,NA
1163.5,298.65,NA
1165,307.15,NA
1165.5,299.0499996,NA
1167.5,299.65,NA
1169,307.65,NA
1169.5,300.15,NA
1170,307.65,NA
1170.5,297.5499996,NA
1171.5,300.0499996,NA
1172,307.15,NA
