"day","time","latitude","longitude","T"
16518,2070-03-24,12.7225130890052,358.75,302.0778
16518.5,2070-03-24,12.7225130890052,358.75,309.0265
16519,2070-03-25,12.7225130890052,358.75,302.86505
16519.5,2070-03-25,12.7225130890052,358.75,309.27197
16520,2070-03-26,12.7225130890052,358.75,302.11694
16520.5,2070-03-26,12.7225130890052,358.75,309.1965
16521,2070-03-27,12.7225130890052,358.75,301.82587
16521.5,2070-03-27,12.7225130890052,358.75,307.20282
16522,2070-03-28,12.7225130890052,358.75,301.0259
16522.5,2070-03-28,12.7225130890052,358.75,306.88232
16523,2070-03-29,12.7225130890052,358.75,300.7674
16523.5,2070-03-29,12.7225130890052,358.75,306.08102
16524,2070-03-30,12.7225130890052,358.75,300.57507
16524.5,2070-03-30,12.7225130890052,358.75,304.09174
16525,2070-03-31,12.7225130890052,358.75,300.9389
16525.5,2070-03-31,12.7225130890052,358.75,307.5877
16526,2070-04-01,12.7225130890052,358.75,301.1174
16526.5,2070-04-01,12.7225130890052,358.75,309.47403
16527,2070-04-02,12.7225130890052,358.75,301.7298
16527.5,2070-04-02,12.7225130890052,358.75,309.63153
16528,2070-04-03,12.7225130890052,358.75,301.84927
16528.5,2070-04-03,12.7225130890052,358.75,309.0527
16529,2070-04-04,12.7225130890052,358.75,301.7676
16529.5,2070-04-04,12.7225130890052,358.75,306.3294
16530,2070-04-05,12.7225130890052,358.75,301.14404
16530.5,2070-04-05,12.7225130890052,358.75,303.5827
16531,2070-04-06,12.7225130890052,358.75,299.86853
16531.5,2070-04-06,12.7225130890052,358.75,303.4429
16532,2070-04-07,12.7225130890052,358.75,299.57724
16532.5,2070-04-07,12.7225130890052,358.75,306.05948
16533,2070-04-08,12.7225130890052,358.75,300.29007
16533.5,2070-04-08,12.7225130890052,358.75,307.71747
16534,2070-04-09,12.7225130890052,358.75,301.5299
16534.5,2070-04-09,12.7225130890052,358.75,309.2206
16535,2070-04-10,12.7225130890052,358.75,302.40256
16535.5,2070-04-10,12.7225130890052,358.75,309.4498
16536,2070-04-11,12.7225130890052,358.75,302.90524
16536.5,2070-04-11,12.7225130890052,358.75,305.6681
16537,2070-04-12,12.7225130890052,358.75,301.67056
16537.5,2070-04-12,12.7225130890052,358.75,306.22314
16538,2070-04-13,12.7225130890052,358.75,302.06323
16538.5,2070-04-13,12.7225130890052,358.75,310.2031
16539,2070-04-14,12.7225130890052,358.75,301.93225
16539.5,2070-04-14,12.7225130890052,358.75,309.22012
16540,2070-04-15,12.7225130890052,358.75,301.80014
16540.5,2070-04-15,12.7225130890052,358.75,309.63092
16541,2070-04-16,12.7225130890052,358.75,301.92856
16541.5,2070-04-16,12.7225130890052,358.75,309.8546
16542,2070-04-17,12.7225130890052,358.75,300.9154
16542.5,2070-04-17,12.7225130890052,358.75,305.07275
16543,2070-04-18,12.7225130890052,358.75,300.8825
16543.5,2070-04-18,12.7225130890052,358.75,306.66122
16544,2070-04-19,12.7225130890052,358.75,301.508
16544.5,2070-04-19,12.7225130890052,358.75,308.21332
16545,2070-04-20,12.7225130890052,358.75,301.36533
16545.5,2070-04-20,12.7225130890052,358.75,308.62445
16546,2070-04-21,12.7225130890052,358.75,300.60074
16546.5,2070-04-21,12.7225130890052,358.75,308.69824
16547,2070-04-22,12.7225130890052,358.75,301.8991
16547.5,2070-04-22,12.7225130890052,358.75,307.68707
16548,2070-04-23,12.7225130890052,358.75,302.5772
16548.5,2070-04-23,12.7225130890052,358.75,308.8405
16549,2070-04-24,12.7225130890052,358.75,302.44287
16549.5,2070-04-24,12.7225130890052,358.75,310.2255
16550,2070-04-25,12.7225130890052,358.75,301.90656
16550.5,2070-04-25,12.7225130890052,358.75,309.70587
16551,2070-04-26,12.7225130890052,358.75,300.35364
16551.5,2070-04-26,12.7225130890052,358.75,301.8816
16552,2070-04-27,12.7225130890052,358.75,299.77954
16552.5,2070-04-27,12.7225130890052,358.75,307.05402
