period,yr,month,days,total_days,model,emissions,Tmin,Tmax,Tave,T_K,Prec_mm,Tmin_rollMean,Tmin_rollSD,Tmax_rollMean,Tmax_rollSD
historical,1967,12,2505,2505,CGCM3.1 (T47),High (A2),0.09314686,8.96628201,4.529714435,277.6797144,,4.13070197,2.63132084,12.8459577,2.58946844
historical,1968,1,2535,2535,CGCM3.1 (T47),High (A2),-0.3715753,7.55763984,3.59303227,276.7430323,,4.21274959,2.60663616,12.7884558,2.59230093
historical,1968,2,2565,2565,CGCM3.1 (T47),High (A2),0.04140885,7.93153166,3.986470255,277.1364703,,3.98212268,2.6266742,12.7214421,2.72246312
historical,1968,3,2595,2595,CGCM3.1 (T47),High (A2),3.07672996,10.82151837,6.949124166,280.0991242,,3.81181122,2.72681629,12.5181193,2.80592306
historical,1968,4,2625,2625,CGCM3.1 (T47),High (A2),9.12936908,18.159441,13.64440504,286.794405,,4.02443732,2.83420703,12.7640666,2.89409122
historical,1968,5,2655,2655,CGCM3.1 (T47),High (A2),14.4874399,22.6571306,18.57228525,291.7222853,,4.8069092,1.91234678,13.5782279,1.89342131
historical,1968,6,2685,2685,CGCM3.1 (T47),High (A2),18.4786813,26.0528752,22.26577825,295.4157783,,4.68348454,2.0641031,13.6098136,2.07211794
historical,1968,7,2715,2715,CGCM3.1 (T47),High (A2),23.4310308,30.0169372,26.723984,299.873984,,7.1496141,1.3585425,17.1339223,1.11976651
historical,1968,8,2745,2745,CGCM3.1 (T47),High (A2),23.7228058,31.181003,27.4519044,300.6019044,,7.48492902,1.52482265,17.460271,1.3380664
historical,1968,9,2775,2775,CGCM3.1 (T47),High (A2),17.9208604,25.6381803,21.77952035,294.9295204,,7.69048403,1.5267456,17.5476672,1.26323077
historical,1968,10,2805,2805,CGCM3.1 (T47),High (A2),12.3279417,20.7688855,16.5484136,289.6984136,,7.45353763,1.59526659,17.4431719,1.22252058
historical,1968,11,2835,2835,CGCM3.1 (T47),High (A2),9.39087922,16.0539201,12.72239966,285.8723997,,7.52113824,1.51914778,17.4933237,1.16346328
historical,1968,12,2865,2865,CGCM3.1 (T47),High (A2),1.03547713,8.54891912,4.792198125,277.9421981,,7.47104565,1.45073461,17.3796874,1.16633073
historical,1969,1,2895,2895,CGCM3.1 (T47),High (A2),-1.9404886,4.812493132,1.436002266,274.5860023,,7.0956084,1.38988398,17.1640846,1.20345231
historical,1969,2,2925,2925,CGCM3.1 (T47),High (A2),-3.3377091,5.26900495,0.965647925,274.1156479,,7.33762755,1.54541322,17.3941937,1.41448404
historical,1969,3,2955,2955,CGCM3.1 (T47),High (A2),0.15795027,8.928691245,4.543320758,277.6933208,,7.38500521,1.52623313,17.6988817,1.27702112
