month,yr,days,Tmin,Tmax,Tave,T_K,Prec_mm
1,1971,3615,17.58339088,32.1618691,24.87262999,298.02263,128.706071
2,1971,3645,19.0896705,34.2899342,26.68980235,299.8398024,171.086429
3,1971,3675,22.034072,33.9191282,27.9766001,301.1266001,104.563409
4,1971,3705,23.3852471,36.2886814,29.83696425,302.9869643,118.391665
5,1971,3735,24.0184436,34.4920466,29.2552451,302.4052451,183.057264
6,1971,3765,22.0123611,30.9193212,26.46584115,299.6158412,154.633337
7,1971,3795,21.7268083,29.8656647,25.7962365,298.9462365,193.976103
8,1971,3825,21.1435885,29.4862671,25.3149278,298.4649278,257.156022
9,1971,3855,20.8364442,30.4712292,25.6538367,298.8038367,95.3559921
10,1971,3885,20.6206345,32.0487283,26.3346814,299.4846814,100.929867
11,1971,3915,17.3446247,32.5759913,24.960308,298.110308,65.8354771
12,1971,3945,14.1844319,29.8790519,22.0317419,295.1817419,153.260616
1,1972,3975,16.32984755,31.2266197,23.77823362,296.9282336,197.08132
2,1972,4005,18.9872176,35.3041164,27.145667,300.295667,193.027743
3,1972,4035,19.3613762,35.6318724,27.4966243,300.6466243,217.348395
4,1972,4065,23.0087379,36.7631783,29.8859581,303.0359581,222.90036
5,1972,4095,22.7053241,34.0046831,28.3550036,301.5050036,124.385733
6,1972,4125,22.4163111,31.9169925,27.1666518,300.3166518,132.933862
7,1972,4155,21.5488491,30.5188922,26.03387065,299.1838707,118.699821
8,1972,4185,21.0242014,29.6388453,25.33152335,298.4815234,42.7556543
9,1972,4215,21.2276029,30.2866957,25.7571493,298.9071493,210.702736
10,1972,4245,20.5547069,33.0997264,26.82721665,299.9772167,130.010045
11,1972,4275,17.7520283,33.6615354,25.70678185,298.8567819,72.0506995
12,1972,4305,16.9748998,33.1390964,25.0569981,298.2069981,270.235344
1,1973,4335,17.08428505,32.6135576,24.84892133,297.9989213,95.98827
2,1973,4365,19.6723515,34.792071,27.23221125,300.3822113,121.685718
3,1973,4395,21.1676085,36.0178317,28.5927201,301.7427201,96.1667278
4,1973,4425,24.2055144,36.8301072,30.5178108,303.6678108,130.60159
5,1973,4455,23.2265644,34.6540054,28.9402849,302.0902849,111.66112
6,1973,4485,22.3576661,32.1759428,27.26680445,300.4168045,64.3678233
7,1973,4515,21.3548652,29.4573532,25.4061092,298.5561092,137.191218
8,1973,4545,20.9590187,30.3123053,25.635662,298.785662,120.523293
9,1973,4575,21.2834625,31.2817878,26.28262515,299.4326252,108.246675
10,1973,4605,21.7146754,34.0080656,27.8613705,301.0113705,161.318863
11,1973,4635,20.4775451,33.0234716,26.75050835,299.9005084,190.075068
12,1973,4665,16.6697585,32.3716661,24.5207123,297.6707123,119.021586
1,1974,4695,17.36076579,32.2691213,24.81494354,297.9649435,160.872057
2,1974,4725,16.8665103,33.1933015,25.0299059,298.1799059,160.159525
3,1974,4755,21.1697534,36.5044488,28.8371011,301.9871011,72.0305998
4,1974,4785,23.8261964,35.5413553,29.68377585,302.8337759,176.324098
5,1974,4815,23.0022249,33.3928684,28.19754665,301.3475467,216.333253
6,1974,4845,22.7310993,32.8756698,27.80338455,300.9533846,208.73398
7,1974,4875,21.7796541,30.7068012,26.24322765,299.3932277,177.176683
8,1974,4905,21.7247903,29.5381661,25.6314782,298.7814782,141.514267
9,1974,4935,21.3681947,30.4701063,25.9191505,299.0691505,56.5096062
10,1974,4965,19.977054,33.7101297,26.84359185,299.9935919,154.449531
11,1974,4995,18.1764314,32.9887715,25.58260145,298.7326015,168.839696
12,1974,5025,17.8279242,33.5247356,25.6763299,298.8263299,122.148879
1,1975,5055,16.36813099,31.7740356,24.0710833,297.2210833,163.631569
2,1975,5085,17.4252535,33.8547074,25.63998045,298.7899805,206.703667
3,1975,5115,22.3254626,35.2556265,28.79054455,301.9405446,282.119993
4,1975,5145,23.5508251,34.6346451,29.0927351,302.2427351,223.280163
5,1975,5175,23.569909,33.3399793,28.45494415,301.6049442,128.563641
6,1975,5205,22.2135898,33.4557626,27.8346762,300.9846762,132.782954
7,1975,5235,21.723299,29.7821128,25.7527059,298.9027059,226.030295
8,1975,5265,21.3694892,29.7907584,25.5801238,298.7301238,115.430549
9,1975,5295,21.8253505,30.7681134,26.29673195,299.446732,190.199013
10,1975,5325,22.0001871,30.743495,26.37184105,299.5218411,127.763279
11,1975,5355,18.9770272,32.2981471,25.63758715,298.7875872,341.47269
12,1975,5385,18.2141632,32.5613964,25.3877798,298.5377798,109.859053
1,1976,5415,18.11687173,31.8729483,24.99491002,298.14491,175.161406
2,1976,5445,17.819258,32.6037237,25.21149085,298.3614909,309.383168
3,1976,5475,22.887483,37.5249109,30.20619695,303.356197,149.474619
4,1976,5505,23.5645633,34.8183309,29.1914471,302.3414471,242.397666
5,1976,5535,23.7172557,33.4623407,28.5897982,301.7397982,254.408036
6,1976,5565,22.5629869,32.4926311,27.527809,300.677809,163.392456
7,1976,5595,21.8997528,30.020445,25.9600989,299.1100989,177.123902
8,1976,5625,21.2473444,29.3657682,25.3065563,298.4565563,195.02591
9,1976,5655,21.3278717,30.748622,26.03824685,299.1882469,162.724959
10,1976,5685,21.0345354,31.6886501,26.36159275,299.5115928,299.712665
11,1976,5715,18.4432831,31.9063722,25.17482765,298.3248277,138.85299
12,1976,5745,15.4532197,30.7794968,23.11635825,296.2663583,163.175224
1,1977,5775,15.667773,30.6493974,23.1585852,296.3085852,256.532188
2,1977,5805,22.411382,32.8041566,27.6077693,300.7577693,230.582892
3,1977,5835,23.9209611,35.2003001,29.5606306,302.7106306,243.706628
4,1977,5865,24.078187,36.5855804,30.3318837,303.4818837,204.583775
5,1977,5895,22.6041374,34.9480685,28.77610295,301.926103,249.952947
6,1977,5925,22.4057007,32.7062534,27.55597705,300.7059771,176.878334
7,1977,5955,21.8991471,30.3776663,26.1384067,299.2884067,259.201353
8,1977,5985,21.2385747,30.197633,25.71810385,298.8681039,337.261031
9,1977,6015,21.5715204,30.401146,25.9863332,299.1363332,168.617749
10,1977,6045,21.7653445,31.8510586,26.80820155,299.9582016,262.2573
11,1977,6075,19.7135455,32.9251059,26.3193257,299.4693257,248.888838
12,1977,6105,16.7262299,32.4846511,24.6054405,297.7554405,163.891177
1,1978,6135,17.32351868,31.6702604,24.49688954,297.6468895,237.921445
2,1978,6165,20.9929515,34.2080878,27.60051965,300.7505197,297.681177
3,1978,6195,23.1474676,36.1158523,29.63165995,302.78166,195.939464
4,1978,6225,24.366246,34.5761503,29.47119815,302.6211982,256.22031
5,1978,6255,23.1374202,35.4873971,29.31240865,302.4624087,344.836246
6,1978,6285,23.2349018,33.0124178,28.1236598,301.2736598,147.53168
7,1978,6315,21.7304957,30.0875156,25.90900565,299.0590057,308.361464
8,1978,6345,21.6181367,29.3401217,25.4791292,298.6291292,152.228591
9,1978,6375,21.0847916,31.7382964,26.411544,299.561544,339.962151
10,1978,6405,21.3713997,32.7052162,27.03830795,300.188308,198.77972
11,1978,6435,19.0007009,32.8893009,25.9450009,299.0950009,284.68456
12,1978,6465,17.0120249,33.4748349,25.2434299,298.3934299,191.903663
1,1979,6495,15.74909111,30.8856378,23.31736446,296.4673645,190.709098
2,1979,6525,18.7616918,35.5327439,27.14721785,300.2972179,300.364358
3,1979,6555,22.4333977,37.0051074,29.71925255,302.8692526,388.964386
4,1979,6585,24.9295846,34.3690176,29.6493011,302.7993011,293.826061
5,1979,6615,24.5543767,33.8956095,29.2249931,302.3749931,235.947916
6,1979,6645,22.382762,31.5656324,26.9741972,300.1241972,260.424311
7,1979,6675,21.4019817,29.7742977,25.5881397,298.7381397,211.917524
8,1979,6705,21.4925263,28.5753276,25.03392695,298.183927,205.390476
9,1979,6735,21.7044961,30.1171999,25.910848,299.060848,183.240641
10,1979,6765,19.7950762,33.1305335,26.46280485,299.6128049,254.780686
11,1979,6795,19.2047543,33.1695861,26.1871702,299.3371702,142.508799
12,1979,6825,16.5106879,32.416076,24.46338195,297.613382,231.752627
1,1980,6855,15.19318434,31.9746706,23.58392747,296.7339275,391.47807
2,1980,6885,17.0999798,34.4306746,25.7653272,298.9153272,358.801511
3,1980,6915,20.692223,38.3096539,29.50093845,302.6509385,327.21453
4,1980,6945,24.0161427,35.8601152,29.93812895,303.088129,202.31765
5,1980,6975,22.8035087,36.9373212,29.87041495,303.020415,228.8609
6,1980,7005,22.6317131,31.1234045,26.8775588,300.0275588,177.239932
7,1980,7035,21.4885695,29.7140524,25.60131095,298.751311,168.817869
8,1980,7065,21.0347828,28.7624601,24.89862145,298.0486215,232.18884
9,1980,7095,21.3921358,30.8387439,26.11543985,299.2654399,238.800445
10,1980,7125,20.0052099,32.3394174,26.17231365,299.3223137,274.578679
11,1980,7155,17.8539974,33.5426445,25.69832095,298.848321,260.590057
12,1980,7185,16.5693629,31.5917743,24.0805686,297.2305686,387.630517
1,1981,7215,16.07679724,32.2080696,24.14243342,297.2924334,235.693661
2,1981,7245,19.4473035,34.740824,27.09406375,300.2440638,238.14099
3,1981,7275,21.3107585,36.9649643,29.1378614,302.2878614,211.967728
4,1981,7305,22.826851,34.5085521,28.66770155,301.8177016,131.884579
5,1981,7335,23.1309205,33.4501935,28.290557,301.440557,186.082546
6,1981,7365,22.3934944,31.1439916,26.768743,299.918743,310.424606
7,1981,7395,22.0790742,30.8859846,26.4825294,299.6325294,233.978124
8,1981,7425,21.2430657,29.2148883,25.228977,298.378977,255.662582
9,1981,7455,21.8655621,30.2531477,26.0593549,299.2093549,239.797627
10,1981,7485,21.5157125,32.8647626,27.19023755,300.3402376,238.745886
11,1981,7515,20.4323033,33.1084234,26.77036335,299.9203634,204.858522
12,1981,7545,17.1348187,31.2420028,24.18841075,297.3384108,212.35243
1,1982,7575,15.77296727,30.7554188,23.26419303,296.414193,167.250743
2,1982,7605,18.8936739,36.1713336,27.53250375,300.6825038,194.670806
3,1982,7635,22.6461631,37.5601549,30.103159,303.253159,171.085816
4,1982,7665,22.8780788,37.6050588,30.2415688,303.3915688,138.301973
5,1982,7695,23.0593531,34.0639174,28.56163525,301.7116353,197.188054
6,1982,7725,22.997118,31.5682963,27.28270715,300.4327072,202.986979
7,1982,7755,22.1248111,30.8295277,26.4771694,299.6271694,249.400533
8,1982,7785,21.514318,29.8911074,25.7027127,298.8527127,155.234848
9,1982,7815,21.3299117,30.8269229,26.0784173,299.2284173,171.433406
10,1982,7845,20.8320273,33.0306562,26.93134175,300.0813418,251.717404
11,1982,7875,19.2766083,33.1953468,26.23597755,299.3859776,260.077573
12,1982,7905,18.2759759,32.4021232,25.33904955,298.4890496,264.792059
1,1983,7935,16.60924947,32.4801225,24.54468599,297.694686,329.733222
2,1983,7965,19.2036773,35.1590771,27.1813772,300.3313772,115.56284
3,1983,7995,23.1180854,35.7253652,29.4217253,302.5717253,333.797263
4,1983,8025,24.678012,33.7237106,29.2008613,302.3508613,216.971948
5,1983,8055,23.9726163,34.5969332,29.28477475,302.4347748,176.131967
6,1983,8085,22.2488322,32.8197392,27.5342857,300.6842857,154.816222
7,1983,8115,21.8470818,30.5302761,26.18867895,299.338679,139.615117
8,1983,8145,21.4093455,29.1748608,25.29210315,298.4421032,180.625943
9,1983,8175,21.1718956,30.5914682,25.8816819,299.0316819,81.2899856
10,1983,8205,20.4545574,32.681041,26.5677992,299.7177992,46.984961
11,1983,8235,18.090158,33.1831731,25.63666555,298.7866656,114.900614
12,1983,8265,16.7915125,32.86248,24.82699625,297.9769963,47.5398333
1,1984,8295,18.46645203,34.1556578,26.31105491,299.4610549,198.409237
2,1984,8325,20.7534665,33.7065754,27.23002095,300.380021,97.4069329
3,1984,8355,20.68697,35.9410598,28.3140149,301.4640149,119.931725
4,1984,8385,23.4500386,35.5274957,29.48876715,302.6387672,88.5503819
5,1984,8415,24.0759735,32.2949733,28.1854734,301.3354734,95.9404702
6,1984,8445,22.5232716,31.8654766,27.1943741,300.3443741,32.2589619
7,1984,8475,22.1670216,30.8614964,26.514259,299.664259,55.9822472
8,1984,8505,21.4811057,29.670615,25.57586035,298.7258604,38.96961
9,1984,8535,21.0192322,29.758845,25.3890386,298.5390386,189.730324
10,1984,8565,19.934964,32.7902386,26.3626013,299.5126013,205.802069
11,1984,8595,18.5371913,33.5415848,26.03938805,299.1893881,104.173403
12,1984,8625,15.097524,30.476402,22.786963,295.936963,144.689788
1,1985,8655,16.59519883,32.9443305,24.76976466,297.9197647,20.1376704
2,1985,8685,17.3205075,33.8260329,25.5732702,298.7232702,75.800953
3,1985,8715,22.9642858,36.2386039,29.60144485,302.7514449,81.7974619
4,1985,8745,23.7964028,37.8131964,30.8047996,303.9547996,109.579915
5,1985,8775,23.7044411,35.2962009,29.500321,302.650321,71.5038391
6,1985,8805,22.9581936,33.0786684,28.018431,301.168431,66.5023356
7,1985,8835,22.217141,30.0976826,26.1574118,299.3074118,76.4175324
8,1985,8865,21.4587335,30.1922146,25.82547405,298.9754741,249.147933
9,1985,8895,21.669847,29.9326302,25.8012386,298.9512386,39.6803117
10,1985,8925,21.9139206,33.2850661,27.59949335,300.7494934,73.6855813
11,1985,8955,20.1306282,33.5992518,26.86494,300.01494,49.6219191
12,1985,8985,18.1868757,31.9775236,25.08219965,298.2321997,107.765196
1,1986,9015,16.38597426,30.8139702,23.59997223,296.7499722,4.52775195
2,1986,9045,20.4854598,33.6956043,27.09053205,300.2405321,2.52799988
