Species,Latitude,Habitat,Subfamily,TPC.h,TPC.f,Model.h,Model.f,max.h,max.f,delta.TPC,delta.model
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,21.621463174568603,18.329182749771768,33.57377199779441,28.483857052491846,49.49993703101667,34.61609858331123,-0.06651080026089512,-0.10282669535747534
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,5.586650233890787,4.962573514552984,7.54990088889918,25.57353489542969,9.647897567,117.38946085302115,-0.06468525551850972,1.8681411034233166
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,6.064096647971546,5.357154070280309,8.472802331673424,7.537514133951233,11.13005905,8.930379494,-0.06351651635588014,-0.08403263572282588
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,18.790718588448943,16.133845372529084,33.03570176498335,46.064755465631855,48.99894220333609,110.00768965708804,-0.05422307291643871,0.26590479538477507
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,20.603352492751952,18.122944672937646,21.89743301916843,20.744324157007934,36.3480706017763,47.357362904560034,-0.0682404259359255,-0.031724073467166256
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,9.023871278907482,7.398515047229267,14.834704906745767,20.964549165166673,129.8309155,81.53209294,-0.01251902311108801,0.04721405710507299
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,17.255933830745928,20.480369640082124,31.120027199072247,36.719290016188566,146.7146912,118.57547753474277,0.02197759326597142,0.03816429541799232
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,15.112198215129645,14.486342002782909,13.756742498949217,6.845540920488223,37.392914806181714,12.2387645,-0.016737294099449858,-0.18482650026839975
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,9.22655687072654,9.270154928268544,16.34090830761911,11.735874583701998,129.38527527160795,98.33765759923841,3.369630543389304e-4,-0.03559163679367795
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,13.943842345367415,11.468838988512722,23.587364650890535,30.353028700604888,166.18922391241588,87.96534017634117,-0.014892682561409968,0.04071060620199993
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,15.854120502840313,18.861159467126345,28.225011070056933,37.78248378570522,142.71552433829842,95.35975266,0.02107016022418157,0.06696869706334736
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,13.759402002606846,15.32291501097291,20.052895421170906,18.464825790670073,106.46943568008889,44.20532915224691,0.014685087775462494,-0.014915732579559653
Hyadaphis pseudobrassicae US Columbia,38.93,Temperate,Sternorrhyncha,10.846282148102963,13.502359845261944,15.530100383396405,28.344770368471202,100.0111519,96.76537095877413,0.026557815270588647,0.1281324106524444
