Species,Latitude,Habitat,Subfamily,TPC.h,TPC.f,Model.h,Model.f,max.h,max.f,delta.TPC,delta.model
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,0.8278093478994927,0.9029114831356176,0.5598678151006986,0.5270543853176838,0.13645920622104302,0.11709559251896426,0.075102135236125,-0.032813429783014825
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,0.9196340331988324,0.8533130019022083,0.5947856943463684,0.29272765441733595,0.28768207245178085,2.777532415804605,-0.06632103129662417,-0.3020580399290325
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,0.8820338314351976,0.8877159350346837,0.7018957199103589,0.6496839333874457,0.2468600779315258,0.22314355131420976,0.0056821035994860615,-0.052211786522913244
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,0.794081154290516,0.6181626719174254,0.6819786576812856,0.5181158958933632,0.18834811483587535,0.20542530648650523,-0.17591848237309057,-0.16386276178792247
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,0.6940982137030163,0.5224803149170997,0.6705022968738954,0.45348867337337795,0.1836059946103888,0.17419227864462827,-0.17161789878591663,-0.21701362350051748
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,0.6486259494691778,0.3734083108347656,1.0301246885317097,-0.18476058416555505,2.6753994313281813,1.8142856143609873,-0.27521763863441223,-1.2148852726972648
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,0.47251838384584743,0.2857543740871526,0.211476576079537,0.03513870920502934,1.474211125224333,1.5641805751220526,-0.1867640097586949,-0.17633786687450764
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,0.5673431745395296,0.7556361269009985,0.5003201409856046,0.7397671998925344,0.3841980142972104,0.39696475334277176,0.18829295236146884,0.23944705890692974
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,0.6280188688609486,0.6036300354643066,0.5744237665651976,0.5897930050029557,0.6636786478309199,0.7100025111778118,-0.02438883339664201,0.015369238437758165
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,0.5554036657982225,0.09722308560120084,0.6722446037626192,-0.030529315262779872,0.7364604431149699,0.15930866216728226,-0.4581805801970216,-0.702773919025399
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,0.5317433538764631,-1.3267077647012826,0.6228137488106684,-0.05953172622681459,4.1715139999601805,1.8275245127484228,-1.8584511185777457,-0.682345475037483
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,0.5601508004477843,-0.6239771871473422,0.6777841803341624,0.24339381257851342,0.5263843074480413,0.2677984494395858,-1.1841279875951265,-0.4343903677556491
Hyadaphis pseudobrassicae US Columbia,38.93,Temperate,Sternorrhyncha,0.5929346564766886,0.3291468811397078,0.8055847524974686,0.24833421634521743,0.6685809502762191,0.3834108282382813,-0.2637877753369808,-0.5572505361522513
